name,category,phone,reservation,address,transportation,hours,price_range,review_based_price_range,service_charges,seating_capacity,max_guests,private_rooms,charter,smoking_policy,parking,facilities,course_menu,drinks,scenes,services,homepage,opened_date,additional_notes,diner_idx,city_name,region_name,tabelog_url,total_review_count,facebook_url,instagram_url,twitter_url,payment_card,payment_emoney,payment_qr,card_types,price_min,price_max,review_price_min,review_price_max,has_private_room,has_smoking,has_reservation,has_parking,bayesian_score,rank
すばすば,沖縄そば,不明の為情報お待ちしております,予約不可,沖縄県名護市饒平名19,,,{},"{'Lunch': '￥1,000～￥1,999'}",,,,無,不可,,有,,,,,,,2024年12月21日,,47032624,本島北部,okinawa,https://tabelog.com/okinawa/A4702/A470201/47032624/,13,,https://www.instagram.com/suba.suba1221?igsh=OGdvb3RwMWp1d2xq,,1,1,1,[],,,1000,1999,0,2,1,1,0.558891381409275,11.0
とんかつ 小やじ,とんかつ,098-894-3607,予約可,沖縄県那覇市松尾2-8-34,牧志駅から513m,"月・火・水・木・金・土・日・祝日・祝前日・祝後日

11:00 - 20:00",{},"{'Lunch': '￥2,000～￥2,999'}",,22,,無,不可,,無,カウンター席あり,,,一人で入りやすい,,,2024年9月12日,,47032253,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47032253/,36,,https://www.instagram.com/tonkatsukoyaji/,,1,1,1,['JCB'],,,2000,2999,0,2,1,0,0.5567086069679582,12.0
クシヤキCan,焼き鳥、串焼き、沖縄料理,050-5592-4183,予約可,沖縄県那覇市泉崎1-9-23 レイデンシア泉崎 2F,"沖縄都市モノレール　県庁前　徒歩5分
沖縄都市モノレール　旭橋駅　徒歩6分
沖縄都市モノレール　壺川駅　徒歩12分",17:30 - 00:00,"{'Dinner': '￥4,000～￥4,999'}","{'Dinner': '￥4,000～￥4,999'}",お通し代　400円,53,,"有

（4人可、6人可、8人可、10～20人可）","可

（20人～50人可、50人以上可）","全席禁煙

喫煙専用室あり",無,オシャレな空間、落ち着いた空間、席が広い、カウンター席あり、電源あり、無料Wi-Fiあり,飲み放題、3時間以上飲み放題,日本酒あり、焼酎あり、ワインあり、カクテルあり、日本酒にこだわる、焼酎にこだわる、ワインにこだわる、カクテルにこだわる,家族・子供と,2時間半以上の宴会可、お祝い・サプライズ可（バースデープレート）、ドリンク持込可、複数言語メニューあり（英語）,,,,47031065,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47031065/,61,,https://www.instagram.com/kushiyaki_can,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",4000,4999,4000,4999,1,2,1,0,0.5564578597366694,13.0
GLOUTON SHURI,フレンチ,070-8918-9964,予約可,沖縄県那覇市松川402 コテージジャム 2F,おもろまち駅から徒歩１４分,"月・火・木・金・土・日・祝日・祝前日・祝後日

18:00 - 23:00

L.O. 料理19:30

水

定休日","{'Dinner': '￥15,000～￥19,999'}","{'Dinner': '￥20,000～￥29,999'}",,14,,無,可,全席禁煙,有,,,,,,,2023年9月18日,,47031248,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47031248/,14,,https://www.instagram.com/gloutonshuri/,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",15000,19999,20000,29999,0,2,1,1,0.5521706290052253,14.0
島唄ライブ 沖縄民謡居酒屋 ORION,居酒屋、沖縄料理、海鮮,050-5596-3978,予約可,沖縄県那覇市松尾2-10-10 2F,沖縄モノレール牧志駅出口より徒歩約9分沖縄モノレール美栄橋駅出口より徒歩約9分ドン・キホーテ国際通り店からすぐ,"月・火・水・木・金・土・日・祝日・祝前日・祝後日
                        
                      
                          
                            17:30 - 23:00
                              L.O. 料理22:15 ドリンク22:30","{'Dinner': '￥3,000～￥3,999'}",{},ライブチャージ料：550円(税込),120,着席時 120人,無,"可                
                  
                    （50人以上可）","全席禁煙
                  店外に喫煙スペースあり",無,ライブ・生演奏あり、無料Wi-Fiあり,飲み放題,焼酎あり、ワインあり、カクテルあり,"家族・子供と
                  ｜
                大人数の宴会",ライブチャージ料：550円(税込),,2025年3月10日,,47032879,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47032879/,9,,https://www.instagram.com/orion_098,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",3000,3999,,,0,2,1,0,0.5516280287281731,15.0
EMPORIO ISHIZAKI,イタリアン、パスタ,098-943-0141,予約可,沖縄県那覇市久茂地2-3-16 上原マンション 1F,ゆいレール線 県庁前駅 徒歩4分,"月・火・水・木・金・土・祝日・祝前日・祝後日

17:30 - 22:00

L.O. 料理20:00 ドリンク21:30

日

定休日","{'Dinner': '￥10,000～￥14,999', 'Lunch': '￥1,000～￥1,999'}",{},,16,,"有

（8人可）",不可,全席禁煙,無,オシャレな空間、落ち着いた空間、カウンター席あり,,,,,https://emporio-ishizaki.com/,2023年4月1日,,47030126,久茂地,okinawa,https://tabelog.com/okinawa/A4701/A470101/47030126/,41,https://www.facebook.com/profile.php?id=100090583075585,https://www.instagram.com/emporio_ishizaki/,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",10000,14999,,,1,2,1,0,0.5494763382424511,16.0
焼肉りゅうもん,焼肉,050-5592-4184,予約可,沖縄県那覇市久茂地2-14-11,・沖縄都市モノレール　美栄橋駅徒歩5分/県庁前駅徒歩8分◆道に迷った際は、店舗までお気軽にお問合せください◆,"17:00 - 00:00

L.O. 料理23:00 ドリンク23:30","{'Dinner': '￥8,000～￥9,999'}","{'Dinner': '￥8,000～￥9,999'}",,58,,"有

（2人可、4人可、6人可、8人可）

◆席は全て半個室です！◆ ・完全個室は4名個室が2部屋 ・最大12名様まで利用可能な大部屋個室が1部屋",不可,全席禁煙,無,オシャレな空間、落ち着いた空間、席が広い、カップルシートあり、ソファー席あり、電源あり、無料Wi-Fiあり,,日本酒あり、焼酎あり、ワインあり,家族・子供と ｜ デート,2時間半以上の宴会可、お祝い・サプライズ可,,2023年10月20日,"銀聯
ApplePay
COIN＋、LINE Pay、支付宝（Alipay）、微信支付（WeChat Pay）
QRコードはJcoin、GCash、UnionPay、HelloMoney もご利用可能！

適格請求書（インボイス）の要件を満たした領収書を発行します。
登録番号：T8360001028807
※適格請求書発行事業者の最新の登録状態については、インボイス制度適格請求書発行事業者公表サイトを確認するか店舗にご確認ください。",47031138,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47031138/,51,,https://www.instagram.com/yakinikuryumon_naha/?igshid=OGQ5ZDc2ODk2ZA%3D%3D,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",8000,9999,8000,9999,1,2,1,0,0.549147361322818,17.0
島キュイジーヌ あーすん,フレンチ、カフェ,050-5592-4171,予約可,沖縄県那覇市金城5-13-5,ゆいレール小禄駅徒歩4分,"火・水・木・金・土

12:00 - 15:00

L.O. 13:30

18:30 - 23:00

L.O. 20:00

月・日

定休日","{'Dinner': '￥8,000～￥9,999', 'Lunch': '￥2,000～￥2,999'}","{'Dinner': '￥10,000～￥14,999', 'Lunch': '￥3,000～￥3,999'}",,28,,"有

（8人可）","可

（20人～50人可）",全席禁煙,有,オシャレな空間、落ち着いた空間,,ワインあり,家族・子供と ｜ 接待,お祝い・サプライズ可（バースデープレート）、ソムリエがいる,https://earthen069.business.site/,2020年10月2日,,47027297,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470103/47027297/,75,https://www.facebook.com/earthen069/,https://www.instagram.com/earthen_069/,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",8000,9999,10000,14999,1,2,1,1,0.5470804407125556,18.0
onde,フレンチ,050-5600-2259,予約可,沖縄県那覇市壺川3-3-3,ゆいレール　壺川駅(出入口1) 徒歩2分,"月・火・水・金

11:30 - 14:00

L.O. 13:30

18:00 - 23:00

土・日・祝日

12:00 - 15:00

L.O. 14:00

18:00 - 23:00

木

定休日","{'Dinner': '￥6,000～￥7,999', 'Lunch': '￥2,000～￥2,999'}","{'Dinner': '￥8,000～￥9,999', 'Lunch': '￥2,000～￥2,999'}",席料、パン代としてお一人様￥500頂戴しております,26,,無,"可

（20人以下可、20人～50人可）","全席禁煙

店舗外に灰皿設置してあります。",無,オシャレな空間、落ち着いた空間、席が広い、ソファー席あり,飲み放題,ワインあり、ワインにこだわる,デート,お祝い・サプライズ可（バースデープレート）、ドリンク持込可、ソムリエがいる,,2022年9月23日,"＊お会計はキャッシュレス決済のみです。（クレジットカード、QR決済、交通系電子マネー）

＊現金、楽天Edy、オキカなどはご利用いただけません。ご了承下さい。
＊駐車場はございませんので近くのコインパーキングをご利用下さい。

＊過度な香水をつけての御来店はお控え下さい。
場合によっては御来店をお断りさせていただきます。

＊当店料理の構成上、ハーブ、ナッツ、乳製品を多く使用しています。
上記の食材がアレルギーや全般召し上がる事が困難な場合、当店をお楽しみ頂く事が難しいのでご来店自体をお断りさせて頂く場合がございます。
小さなお店ですので、当店の主要食材を完全に取り除く事が難しい為です。何卒ご理解の程宜しくお願い致します。",47029691,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47029691/,111,,https://www.instagram.com/onde_okinawa,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",6000,7999,8000,9999,0,2,1,0,0.5451411324760231,19.0
島中華 彌榮,中華料理、沖縄料理,050-5596-3960,予約可,沖縄県那覇市安里388-134,"那覇空港からタクシー（車）で20分
安里駅より徒歩約5分","月・火・水・金・土・日・祝日・祝前日・祝後日

18:00 - 02:00

L.O. 料理00:00 ドリンク01:30

木

定休日","{'Dinner': '￥4,000～￥4,999'}","{'Dinner': '￥3,000～￥3,999'}",,31,,無,"可

（20人～50人可）","全席禁煙

店外に喫煙スペースあり",無,カウンター席あり、ソファー席あり、無料Wi-Fiあり,飲み放題,日本酒あり、焼酎あり、ワインあり,家族・子供と,2時間半以上の宴会可、お祝い・サプライズ可,,2024年2月11日,,47031532,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47031532/,28,,https://www.instagram.com/iyasaka_bakawarai,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'UnionPay', 'VISA']",4000,4999,3000,3999,0,2,1,0,0.5441900879113932,20.0
OKI BOWL,カフェ、スイーツ,090-1346-9249,,沖縄県那覇市銘苅2-4–35 アーバンプラネットビル 3F,古島駅から307m,07:00 - 18:00,{},"{'Lunch': '￥1,000～￥1,999'}",,,,無,,,有,,,,,,,2024年11月2日,,47032532,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470103/47032532/,12,,https://www.instagram.com/oki_bowl/,,1,1,1,[],,,1000,1999,0,2,2,1,0.543898133576711,21.0
炭火 狼煙,居酒屋、創作料理,098-943-1166,予約可,沖縄県那覇市おもろまち4-10-38 スカイガーデンビル 2F,おもろまち駅から徒歩10分,"月・火・木・金・土・日・祝日・祝前日・祝後日

16:00 - 23:00

L.O. 22:00

水

定休日","{'Dinner': '￥4,000～￥4,999'}","{'Dinner': '￥5,000～￥5,999'}",385円(税込),25,,無,"可

（20人～50人可）",全席禁煙,有,オシャレな空間、落ち着いた空間、席が広い、カウンター席あり、ソファー席あり、バリアフリー、電源あり、無料Wi-Fiあり、車椅子で入店可,,日本酒あり、焼酎あり、ワインあり、日本酒にこだわる、焼酎にこだわる、ワインにこだわる,家族・子供と ｜ デート,お祝い・サプライズ可、デリバリー,,2023年4月12日,,47030581,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47030581/,27,,,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",4000,4999,5000,5999,0,2,1,1,0.5426125038130535,22.0
琉球薬膳鍋　くもまつ,鍋,098-917-2639,予約可,沖縄県那覇市久茂地2-13-20 ラビエンテ久茂地 2F,美栄橋駅から312m,17:00 - 22:00,"{'Dinner': '￥5,000～￥5,999'}","{'Dinner': '￥6,000～￥7,999'}",,27,,有,不可,,無,,,,,,,2023年10月,,47031313,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47031313/,30,,https://www.instagram.com/kumomatsu.ryukyu?igsh=MTJkbmF0ZGxmYm0wNg==,,1,1,1,[],5000,5999,6000,7999,1,2,1,0,0.5401396651937848,23.0
LITOR,ハンバーガー、カフェ、バー,050-5600-8300,予約可,沖縄県那覇市久茂地3-25-20 NORTE 1F,"那覇 国際通り商店街より徒歩3分
県庁前駅 / 美栄橋駅より 徒歩5分

那覇文化芸術劇場 なはーと前",11:00 - 23:00,"{'Dinner': '￥3,000～￥3,999', 'Lunch': '￥1,000～￥1,999'}","{'Dinner': '￥2,000～￥2,999', 'Lunch': '￥2,000～￥2,999'}",サービス料、チャージ料なし,27,,無,"可

（20人以下可）","全席禁煙

屋外に喫煙スペースあり",無,オシャレな空間、落ち着いた空間、カウンター席あり、電源あり、無料Wi-Fiあり,,ワインあり、カクテルあり、カクテルにこだわる,家族・子供と ｜ 一人で入りやすい,2時間半以上の宴会可、テイクアウト,,2023年6月1日,"予約時の注意事項
予約をご希望のお客様は、お電話（098-943-1583）にてご連絡ください。
※当日予約可
※キャンセルは前日の営業時間内まで",47030459,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47030459/,153,,https://www.instagram.com/litor_okinawa/,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",3000,3999,2000,2999,0,2,1,0,0.5396398391822098,24.0
焼肉神社 うしいち,焼肉,050-5596-3971,予約可,沖縄県那覇市泉崎1-17-9,旭橋駅から徒歩5分,"月・火・水
                        
                      
                          
                            11:30 - 14:00
                          
                          
                            17:00 - 23:00
                              L.O. 22:30
                          
                      
                    
                    
                        
                          金
                        
                      
                          
                            11:30 - 14:00
                          
                          
                            17:00 - 00:00
                              L.O. 23:30
                          
                      
                    
                    
                        
                          土・日
                        
                      
                          
                            17:00 - 00:00
                              L.O. 23:30
                          
                      
                    
                    
                        
                          木
                        
                      
                          
                            定休日","{'Dinner': '￥5,000～￥5,999', 'Lunch': '￥1,000～￥1,999'}",{},なし,26,着席時 25人,無,"可                
                  
                    （20人～50人可）",全席禁煙,無,カウンター席あり、電源あり、無料Wi-Fiあり、車椅子で入店可,飲み放題,焼酎あり、ワインあり、カクテルあり,"家族・子供と
                  ｜
                大人数の宴会",なし,https://yakinikuokinawa.com/,2024年9月10日,,47032243,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47032243/,12,,https://www.instagram.com/yakinikujinja_ushiichi/,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'UnionPay', 'VISA']",5000,5999,,,0,2,1,0,0.5384747246193585,25.0
CASA SOL,カフェ,不明の為情報お待ちしております,予約不可,沖縄県国頭郡今帰仁村湧川661,,"月・火・水・木・金・土・日・祝日

09:00 - 16:00",{},"{'Lunch': '￥1,000～￥1,999'}",,,,無,不可,,有,,,,,,,2024年9月17日,,47032280,本島北部,okinawa,https://tabelog.com/okinawa/A4702/A470202/47032280/,21,,https://www.instagram.com/casa_sol.okinawa?igsh=cXJzNXF3d2o2bnV5,,1,1,1,[],,,1000,1999,0,2,1,1,0.5381712115470274,26.0
純血統うるまアグーしゃぶしゃぶ金とん 国際通り店,しゃぶしゃぶ、豚しゃぶ、沖縄料理,050-1045-2176,予約可,沖縄県那覇市牧志1-3-66 第三あらかきビル 2F・3F,県庁前駅から徒歩7分,"月・火・水・木・金・土・日・祝日・祝前日・祝後日

17:00 - 22:00

L.O. 料理20:30 ドリンク21:30","{'Dinner': '￥5,000～￥5,999'}","{'Dinner': '￥6,000～￥7,999'}",,20,,無,"可

（20人以下可）","全席禁煙

屋上に喫煙スペースあり",無,オシャレな空間,,,家族・子供と ｜ デート,,https://agu-kinton.jp/,2024年3月19日,,47031583,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47031583/,47,,https://www.instagram.com/kinton_kokusai,,1,1,1,"['AMEX', 'Master', 'VISA']",5000,5999,6000,7999,0,2,1,0,0.5379313797683094,27.0
